miRNA,lncRNA
hsa-miR-129-5p,CRHR1.IT1
hsa-miR-129-5p,CSDE1
hsa-miR-129-5p,CTA.217C2.1
hsa-miR-129-5p,CTA.315H11.2
hsa-miR-129-5p,CTB.12A17.3
hsa-miR-129-5p,CTB.89H12.4
hsa-miR-129-5p,CTC.228N24.3
hsa-miR-129-5p,CTC.277H1.7
hsa-miR-129-5p,CTC.425F1.4
hsa-miR-129-5p,CTC.444N24.11
hsa-miR-129-5p,CTC.453G23.8
hsa-miR-129-5p,CTC.524C5.2
hsa-miR-129-5p,CTC.559E9.8
hsa-miR-129-5p,CTD.2010I16.1
hsa-miR-129-5p,CTD.2036P10.3
hsa-miR-129-5p,CTD.2139B15.4
hsa-miR-129-5p,CTD.2196E14.4
hsa-miR-129-5p,CTD.2201E18.3
hsa-miR-129-5p,CTD.2228K2.1
hsa-miR-129-5p,CTD.2228K2.7
hsa-miR-129-5p,CTD.2262B20.1
hsa-miR-129-5p,CTD.2287O16.1
hsa-miR-129-5p,CTD.2303H24.2
hsa-miR-129-5p,CTD.2314B22.2
hsa-miR-129-5p,CTD.2524L6.3
hsa-miR-129-5p,CTD.2530N21.4
hsa-miR-129-5p,CTD.2622I13.3
hsa-miR-129-5p,CTD.2636A23.2
hsa-miR-129-5p,CTD.3137H5.1
hsa-miR-129-5p,CTD.3185P2.1
hsa-miR-129-5p,CTDSPL2
hsa-miR-129-5p,CYCSP23
hsa-miR-129-5p,CYLD
hsa-miR-129-5p,DAPK1.IT1
hsa-miR-129-5p,DCAF16
hsa-miR-129-5p,DDX23
hsa-miR-129-5p,DDX31
hsa-miR-129-5p,DDX39B
hsa-miR-129-5p,DDX6
hsa-miR-129-5p,DECR1
hsa-miR-129-5p,DHRS4.AS1
hsa-miR-129-5p,DHX30
hsa-miR-129-5p,DIO3OS
hsa-miR-129-5p,DMRTC2
hsa-miR-129-5p,DMTF1
hsa-miR-129-5p,DNAJC21
hsa-miR-129-5p,DNASE1
hsa-miR-129-5p,DPF2
hsa-miR-129-5p,DYX1C1.CCPG1
hsa-miR-129-5p,E4F1
hsa-miR-129-5p,EAF1.AS1
hsa-miR-129-5p,ECT2
hsa-miR-129-5p,EEF1A1P11
hsa-miR-129-5p,EEF1A1P13
hsa-miR-129-5p,EEF1A1P17
hsa-miR-129-5p,EEF1A1P19
hsa-miR-129-5p,EEF1A1P8
hsa-miR-129-5p,EEF1A1P9
hsa-miR-129-5p,EEF1B2P3
hsa-miR-129-5p,EIF3J.AS1
hsa-miR-129-5p,EIF3M
hsa-miR-129-5p,EIF4A2P2
hsa-miR-129-5p,EIF4A2P3
hsa-miR-129-5p,EIF4E3
hsa-miR-129-5p,EIF4G2
hsa-miR-129-5p,EIF5
hsa-miR-129-5p,EMC2
hsa-miR-129-5p,EMX2OS
hsa-miR-129-5p,ENC1
hsa-miR-129-5p,ENO1.IT1
hsa-miR-129-5p,ENOX2
hsa-miR-129-5p,ENTPD1.AS1
hsa-miR-129-5p,ENY2
hsa-miR-129-5p,EPB41L4A
hsa-miR-129-5p,EPN2
hsa-miR-129-5p,EPRS
hsa-miR-129-5p,ERN1
hsa-miR-129-5p,ERVK13.1
hsa-miR-129-5p,ERVK3.1
hsa-miR-129-5p,EVA1C
hsa-miR-129-5p,EXOSC1
hsa-miR-129-5p,FAM133CP
hsa-miR-129-5p,FAM13A.AS1
hsa-miR-129-5p,FAM179B
hsa-miR-129-5p,FAM193B
hsa-miR-129-5p,FAM204A
hsa-miR-129-5p,FAM208B
hsa-miR-129-5p,FAM211A
hsa-miR-129-5p,FAM216A
hsa-miR-129-5p,FAM219B
hsa-miR-129-5p,FAM78A
hsa-miR-129-5p,FAM91A1
hsa-miR-129-5p,FANCA
hsa-miR-129-5p,FAU
hsa-miR-129-5p,FBXO11
hsa-miR-129-5p,FBXO38
hsa-miR-129-5p,FGD5.AS1
hsa-miR-129-5p,FKBP10
hsa-miR-129-5p,FLJ31306
hsa-miR-129-5p,FLJ31356
hsa-miR-129-5p,FMNL1
hsa-miR-129-5p,FNDC3B
hsa-miR-129-5p,FOXP2
hsa-miR-129-5p,FTH1
hsa-miR-129-5p,FTH1P11
hsa-miR-129-5p,FTH1P15
hsa-miR-129-5p,FTH1P16
hsa-miR-129-5p,FTH1P2
hsa-miR-129-5p,FTH1P20
hsa-miR-129-5p,FTH1P8
hsa-miR-129-5p,FTSJ1
hsa-miR-129-5p,FUBP3
hsa-miR-129-5p,GALNT7
hsa-miR-129-5p,GAS5
hsa-miR-129-5p,GCNT2
hsa-miR-129-5p,GIGYF2
hsa-miR-129-5p,GLB1L3
hsa-miR-129-5p,GNPDA2
hsa-miR-129-5p,GOLGA1
hsa-miR-129-5p,GPBP1L1
hsa-miR-129-5p,GTF2A2
hsa-miR-129-5p,GTF3A
hsa-miR-129-5p,GUK1
hsa-miR-129-5p,h19
hsa-miR-129-5p,H3F3B
hsa-miR-129-5p,H6PD
hsa-miR-129-5p,HCG18
hsa-miR-129-5p,HDAC10
hsa-miR-129-5p,HEG1
hsa-miR-129-5p,HERPUD1
hsa-miR-129-5p,HIST1H2BPS3
hsa-miR-129-5p,HKR1
hsa-miR-129-5p,HMGA1
hsa-miR-129-5p,HMGA1P8
hsa-miR-129-5p,HMGN1
hsa-miR-129-5p,HNRNPA1P5
hsa-miR-129-5p,HNRNPC
hsa-miR-129-5p,HNRNPCP2
hsa-miR-129-5p,HNRNPCP7
hsa-miR-129-5p,HNRNPH1
hsa-miR-129-5p,HNRNPH3
hsa-miR-129-5p,HNRNPL
hsa-miR-129-5p,HNRNPUP1
hsa-miR-129-5p,HOXA10.HOXA9
hsa-miR-129-5p,HOXA13
hsa-miR-129-5p,HOXB6
hsa-miR-129-5p,hsa.mir.125a
hsa-miR-129-5p,HSP90B3P
hsa-miR-129-5p,HSPA8P1
hsa-miR-129-5p,HSPA8P9
hsa-miR-129-5p,HSPD1P1
hsa-miR-129-5p,HSPD1P5
hsa-miR-129-5p,IFNAR2
hsa-miR-129-5p,IMMT
hsa-miR-129-5p,IMPA1
hsa-miR-129-5p,INSIG2
hsa-miR-129-5p,INTS4
hsa-miR-129-5p,IPO11
hsa-miR-129-5p,IPO7P2
hsa-miR-129-5p,IPPK
hsa-miR-129-5p,IPW
hsa-miR-129-5p,IREB2
hsa-miR-129-5p,IRGQ
hsa-miR-129-5p,ISCA2P1
hsa-miR-129-5p,ISCU
hsa-miR-129-5p,ISG20L2
hsa-miR-129-5p,ITFG3
hsa-miR-129-5p,ITIH4
hsa-miR-129-5p,JHDM1D.AS1
hsa-miR-129-5p,JMY
hsa-miR-129-5p,KB.431C1.4
hsa-miR-129-5p,KCNQ1OT1
hsa-miR-129-5p,KIAA1551
hsa-miR-129-5p,KMT2A
hsa-miR-129-5p,LAMTOR3
hsa-miR-129-5p,LARP1
hsa-miR-129-5p,LCOR
hsa-miR-129-5p,LGALS1
hsa-miR-129-5p,LINC00094
hsa-miR-129-5p,LINC00116
hsa-miR-129-5p,LINC00229
hsa-miR-129-5p,LINC00242
hsa-miR-129-5p,LINC00263
hsa-miR-129-5p,LINC00311
hsa-miR-129-5p,LINC00461
hsa-miR-129-5p,LINC00657
hsa-miR-129-5p,LINC00665
hsa-miR-129-5p,LINC00667
hsa-miR-129-5p,LINC00883
hsa-miR-129-5p,LINC00894
hsa-miR-129-5p,LINC00909
hsa-miR-129-5p,LINC00958
hsa-miR-129-5p,LINC00959
hsa-miR-129-5p,LINC00969
hsa-miR-129-5p,LINC01099
hsa-miR-129-5p,LINC.PINT
hsa-miR-129-5p,LL22NC03.80A10.6
hsa-miR-129-5p,LMO3
hsa-miR-129-5p,LOC100129034
hsa-miR-129-5p,LOC100129931
hsa-miR-129-5p,LOC100130899
hsa-miR-129-5p,LOC100131564
hsa-miR-129-5p,LOC100132891
hsa-miR-129-5p,LOC100506548
hsa-miR-129-5p,LOC100506710
hsa-miR-129-5p,LOC284801
hsa-miR-129-5p,LOC387646
hsa-miR-129-5p,LOC645513
hsa-miR-129-5p,LONP2
hsa-miR-129-5p,LRRC37A4P
hsa-miR-129-5p,LRRC41
hsa-miR-129-5p,LYRM2
hsa-miR-129-5p,MAGI2.AS3
hsa-miR-129-5p,MAK16
hsa-miR-129-5p,MALAT1
hsa-miR-129-5p,MAN2C1
hsa-miR-129-5p,MAP4K5
hsa-miR-129-5p,MAPKAPK5.AS1
hsa-miR-129-5p,MAPT.IT1
hsa-miR-129-5p,MBD5
hsa-miR-129-5p,MBL1P
hsa-miR-129-5p,MBNL1
hsa-miR-129-5p,MDM2
hsa-miR-129-5p,MEAF6P1
hsa-miR-129-5p,MED10
hsa-miR-129-5p,MEPCE
hsa-miR-129-5p,METTL12
hsa-miR-129-5p,METTL21A
hsa-miR-129-5p,METTL25
hsa-miR-129-5p,MFNG
hsa-miR-129-5p,MFSD12
hsa-miR-129-5p,MGAT4A
hsa-miR-129-5p,MGST1
hsa-miR-129-5p,MGST3
hsa-miR-129-5p,MIR181A1HG
hsa-miR-129-5p,MIR24.2
hsa-miR-129-5p,MIR4435.1HG
hsa-miR-129-5p,MITD1
hsa-miR-129-5p,MKLN1
hsa-miR-129-5p,MLF2
hsa-miR-129-5p,MLK7.AS1
hsa-miR-129-5p,MLLT4.AS1
hsa-miR-129-5p,MPHOSPH9
hsa-miR-129-5p,MPI
hsa-miR-129-5p,MPV17
hsa-miR-129-5p,MRPS27
hsa-miR-129-5p,MSI2
hsa-miR-129-5p,MST1
hsa-miR-129-5p,MTERFD2
hsa-miR-129-5p,MTHFD2P5
hsa-miR-129-5p,MTIF3
hsa-miR-129-5p,MT.RNR1
hsa-miR-129-5p,MT.RNR2
hsa-miR-129-5p,MYO19
hsa-miR-129-5p,N4BP2L1
hsa-miR-129-5p,NAP1L1P1
hsa-miR-129-5p,NAP1L4
hsa-miR-129-5p,NAP1L4P3
hsa-miR-129-5p,NARG2
hsa-miR-129-5p,NDFIP1
hsa-miR-129-5p,NDUFA12
hsa-miR-129-5p,NDUFA12P1
hsa-miR-129-5p,NEAT1
hsa-miR-129-5p,NENF
hsa-miR-129-5p,NGLY1
hsa-miR-129-5p,NKAPP1
hsa-miR-129-5p,NONHSAG000065
hsa-miR-129-5p,NONHSAG000483
hsa-miR-129-5p,NONHSAG000539
hsa-miR-129-5p,NONHSAG000849
hsa-miR-129-5p,NONHSAG000932
hsa-miR-129-5p,NONHSAG001013
hsa-miR-129-5p,NONHSAG001180
hsa-miR-129-5p,NONHSAG001663
hsa-miR-129-5p,NONHSAG002462
hsa-miR-129-5p,NONHSAG002561
hsa-miR-129-5p,NONHSAG002614
hsa-miR-129-5p,NONHSAG002863
hsa-miR-129-5p,NONHSAG003032
hsa-miR-129-5p,NONHSAG003243
hsa-miR-129-5p,NONHSAG003287
hsa-miR-129-5p,NONHSAG003372
hsa-miR-129-5p,NONHSAG003590
hsa-miR-129-5p,NONHSAG003607
hsa-miR-129-5p,NONHSAG003862
hsa-miR-129-5p,NONHSAG003949
hsa-miR-129-5p,NONHSAG004004
hsa-miR-129-5p,NONHSAG004029
hsa-miR-129-5p,NONHSAG004042
hsa-miR-129-5p,NONHSAG004391
hsa-miR-129-5p,NONHSAG004920
hsa-miR-129-5p,NONHSAG005240
hsa-miR-129-5p,NONHSAG005343
hsa-miR-129-5p,NONHSAG005566
hsa-miR-129-5p,NONHSAG006016
hsa-miR-129-5p,NONHSAG006136
hsa-miR-129-5p,NONHSAG006908
hsa-miR-129-5p,NONHSAG006912
hsa-miR-129-5p,NONHSAG007992
hsa-miR-129-5p,NONHSAG008214
hsa-miR-129-5p,NONHSAG008242
hsa-miR-129-5p,NONHSAG008515
hsa-miR-129-5p,NONHSAG008567
hsa-miR-129-5p,NONHSAG008671
hsa-miR-129-5p,NONHSAG009375
hsa-miR-129-5p,NONHSAG009769
hsa-miR-129-5p,NONHSAG010162
hsa-miR-129-5p,NONHSAG010521
hsa-miR-129-5p,NONHSAG010542
hsa-miR-129-5p,NONHSAG010760
hsa-miR-129-5p,NONHSAG010982
hsa-miR-129-5p,NONHSAG011023
hsa-miR-129-5p,NONHSAG011174
hsa-miR-129-5p,NONHSAG011382
hsa-miR-129-5p,NONHSAG011425
hsa-miR-129-5p,NONHSAG011836
hsa-miR-129-5p,NONHSAG012168
hsa-miR-129-5p,NONHSAG012303
hsa-miR-129-5p,NONHSAG012954
hsa-miR-129-5p,NONHSAG013221
hsa-miR-129-5p,NONHSAG013514
hsa-miR-129-5p,NONHSAG013584
hsa-miR-129-5p,NONHSAG013844
hsa-miR-129-5p,NONHSAG013871
hsa-miR-129-5p,NONHSAG015229
hsa-miR-129-5p,NONHSAG015595
hsa-miR-129-5p,NONHSAG015896
hsa-miR-129-5p,NONHSAG016640
hsa-miR-129-5p,NONHSAG017075
hsa-miR-129-5p,NONHSAG017420
hsa-miR-129-5p,NONHSAG018767
hsa-miR-129-5p,NONHSAG018858
hsa-miR-129-5p,NONHSAG019089
hsa-miR-129-5p,NONHSAG020263
hsa-miR-129-5p,NONHSAG020424
hsa-miR-129-5p,NONHSAG020714
hsa-miR-129-5p,NONHSAG021100
hsa-miR-129-5p,NONHSAG021636
hsa-miR-129-5p,NONHSAG021667
hsa-miR-129-5p,NONHSAG021670
hsa-miR-129-5p,NONHSAG021912
hsa-miR-129-5p,NONHSAG022006
hsa-miR-129-5p,NONHSAG022339
hsa-miR-129-5p,NONHSAG022959
hsa-miR-129-5p,NONHSAG023002
hsa-miR-129-5p,NONHSAG023605
hsa-miR-129-5p,NONHSAG023785
hsa-miR-129-5p,NONHSAG023907
hsa-miR-129-5p,NONHSAG024114
hsa-miR-129-5p,NONHSAG024296
hsa-miR-129-5p,NONHSAG024697
hsa-miR-129-5p,NONHSAG024860
hsa-miR-129-5p,NONHSAG025047
hsa-miR-129-5p,NONHSAG025805
hsa-miR-129-5p,NONHSAG026188
hsa-miR-129-5p,NONHSAG026319
hsa-miR-129-5p,NONHSAG026658
hsa-miR-129-5p,NONHSAG026671
hsa-miR-129-5p,NONHSAG027419
hsa-miR-129-5p,NONHSAG028166
hsa-miR-129-5p,NONHSAG028469
hsa-miR-129-5p,NONHSAG028975
hsa-miR-129-5p,NONHSAG029353
hsa-miR-129-5p,NONHSAG029773
hsa-miR-129-5p,NONHSAG029887
hsa-miR-129-5p,NONHSAG030655
hsa-miR-129-5p,NONHSAG030856
hsa-miR-129-5p,NONHSAG030982
hsa-miR-129-5p,NONHSAG031327
hsa-miR-129-5p,NONHSAG031652
hsa-miR-129-5p,NONHSAG031667
hsa-miR-129-5p,NONHSAG031837
hsa-miR-129-5p,NONHSAG032298
hsa-miR-129-5p,NONHSAG032924
hsa-miR-129-5p,NONHSAG034424
hsa-miR-129-5p,NONHSAG034561
hsa-miR-129-5p,NONHSAG035119
hsa-miR-129-5p,NONHSAG035143
hsa-miR-129-5p,NONHSAG035199
hsa-miR-129-5p,NONHSAG035201
hsa-miR-129-5p,NONHSAG035205
hsa-miR-129-5p,NONHSAG035211
hsa-miR-129-5p,NONHSAG035866
hsa-miR-129-5p,NONHSAG036533
hsa-miR-129-5p,NONHSAG036587
hsa-miR-129-5p,NONHSAG036637
hsa-miR-129-5p,NONHSAG036740
hsa-miR-129-5p,NONHSAG036921
hsa-miR-129-5p,NONHSAG037174
hsa-miR-129-5p,NONHSAG037206
hsa-miR-129-5p,NONHSAG037369
hsa-miR-129-5p,NONHSAG037835
hsa-miR-129-5p,NONHSAG038224
hsa-miR-129-5p,NONHSAG038230
hsa-miR-129-5p,NONHSAG038417
hsa-miR-129-5p,NONHSAG038845
hsa-miR-129-5p,NONHSAG038892
hsa-miR-129-5p,NONHSAG039591
hsa-miR-129-5p,NONHSAG039624
hsa-miR-129-5p,NONHSAG039669
hsa-miR-129-5p,NONHSAG039880
hsa-miR-129-5p,NONHSAG040194
hsa-miR-129-5p,NONHSAG041005
hsa-miR-129-5p,NONHSAG041587
hsa-miR-129-5p,NONHSAG041645
hsa-miR-129-5p,NONHSAG041934
hsa-miR-129-5p,NONHSAG042241
hsa-miR-129-5p,NONHSAG042756
hsa-miR-129-5p,NONHSAG043050
hsa-miR-129-5p,NONHSAG043138
hsa-miR-129-5p,NONHSAG043149
hsa-miR-129-5p,NONHSAG043326
hsa-miR-129-5p,NONHSAG043429
hsa-miR-129-5p,NONHSAG043792
hsa-miR-129-5p,NONHSAG044553
hsa-miR-129-5p,NONHSAG044905
hsa-miR-129-5p,NONHSAG044955
hsa-miR-129-5p,NONHSAG045479
hsa-miR-129-5p,NONHSAG047163
hsa-miR-129-5p,NONHSAG047232
hsa-miR-129-5p,NONHSAG047246
hsa-miR-129-5p,NONHSAG047376
hsa-miR-129-5p,NONHSAG047455
hsa-miR-129-5p,NONHSAG048353
hsa-miR-129-5p,NONHSAG048474
hsa-miR-129-5p,NONHSAG048733
hsa-miR-129-5p,NONHSAG048759
hsa-miR-129-5p,NONHSAG048949
hsa-miR-129-5p,NONHSAG048962
hsa-miR-129-5p,NONHSAG049342
hsa-miR-129-5p,NONHSAG049637
hsa-miR-129-5p,NONHSAG049895
hsa-miR-129-5p,NONHSAG049896
hsa-miR-129-5p,NONHSAG050002
hsa-miR-129-5p,NONHSAG050570
hsa-miR-129-5p,NONHSAG050962
hsa-miR-129-5p,NONHSAG050993
hsa-miR-129-5p,NONHSAG051804
hsa-miR-129-5p,NONHSAG052096
hsa-miR-129-5p,NONHSAG052586
hsa-miR-129-5p,NONHSAG052830
hsa-miR-129-5p,NONHSAG053377
hsa-miR-129-5p,NONHSAG053786
hsa-miR-129-5p,NONHSAG053805
hsa-miR-129-5p,NONHSAG053894
hsa-miR-129-5p,NONHSAG053918
hsa-miR-129-5p,NONHSAG054781
hsa-miR-129-5p,NONHSAG054798
hsa-miR-129-5p,NONHSAG055175
hsa-miR-129-5p,NONHSAG055332
hsa-miR-129-5p,NONHSAG055758
hsa-miR-129-5p,NPDC1
hsa-miR-129-5p,NPM1P26
hsa-miR-129-5p,NPM1P27
hsa-miR-129-5p,NPM1P32
hsa-miR-129-5p,NREP
hsa-miR-129-5p,NUDT21
hsa-miR-129-5p,NUTM2A.AS1
hsa-miR-129-5p,OGG1
hsa-miR-129-5p,OIP5.AS1
hsa-miR-129-5p,PABPC4
hsa-miR-129-5p,PATL2
hsa-miR-129-5p,PCAT2
hsa-miR-129-5p,PCBP1.AS1
hsa-miR-129-5p,PCMTD1
hsa-miR-129-5p,PCNT
hsa-miR-129-5p,PCSK7
hsa-miR-129-5p,PCYT2
hsa-miR-129-5p,PDCD6
hsa-miR-129-5p,PDXDC2P
hsa-miR-129-5p,PHLDB1
hsa-miR-129-5p,PIGP
hsa-miR-129-5p,PITPNA.AS1
hsa-miR-129-5p,PJA2
hsa-miR-129-5p,PLD1
hsa-miR-129-5p,PNISR
hsa-miR-129-5p,POLR3E
hsa-miR-129-5p,POU6F2.AS2
hsa-miR-129-5p,PPIAP2
hsa-miR-129-5p,PPIG
hsa-miR-129-5p,PPP2CB
hsa-miR-129-5p,PPP5D1
hsa-miR-129-5p,PROZ
hsa-miR-129-5p,PRRC2A
hsa-miR-129-5p,PRSS53
hsa-miR-129-5p,PSMA1
hsa-miR-129-5p,PSMA4
hsa-miR-129-5p,PTENP1
hsa-miR-129-5p,PTMAP5
hsa-miR-129-5p,PTPRG.AS1
hsa-miR-129-5p,QSER1
hsa-miR-129-5p,RAB18
hsa-miR-129-5p,RAC1P2
hsa-miR-129-5p,RAI1
hsa-miR-129-5p,RALGAPA1
hsa-miR-129-5p,RALGAPA1P
hsa-miR-129-5p,RANBP1
hsa-miR-129-5p,RAP2C
hsa-miR-129-5p,RASSF8.AS1
hsa-miR-129-5p,RBFA
hsa-miR-129-5p,RBM25
hsa-miR-129-5p,RBM39
hsa-miR-129-5p,RBMS1
hsa-miR-129-5p,RBMX2
hsa-miR-129-5p,RCHY1
hsa-miR-129-5p,RECQL4
hsa-miR-129-5p,RFNG
hsa-miR-129-5p,RGS1
hsa-miR-129-5p,RGS17P1
hsa-miR-129-5p,RHOU
hsa-miR-129-5p,RMDN1
hsa-miR-129-5p,RMDN3
hsa-miR-129-5p,RN7SKP63
hsa-miR-129-5p,RN7SL425P
hsa-miR-129-5p,RNASET2
hsa-miR-129-5p,RNF111
hsa-miR-129-5p,RNF19A
hsa-miR-129-5p,RP11.102M11.1
hsa-miR-129-5p,RP11.1055B8.4
hsa-miR-129-5p,RP11.108M9.4
hsa-miR-129-5p,RP11.1100L3.7
hsa-miR-129-5p,RP11.1100L3.8
hsa-miR-129-5p,RP11.124N3.2
hsa-miR-129-5p,RP11.133N21.7
hsa-miR-129-5p,RP11.145M9.4
hsa-miR-129-5p,RP11.146N23.1
hsa-miR-129-5p,RP11.153M3.1
hsa-miR-129-5p,RP11.156E6.1
hsa-miR-129-5p,RP11.166D19.1
hsa-miR-129-5p,RP11.169K16.9
hsa-miR-129-5p,RP11.16B13.1
hsa-miR-129-5p,RP11.16E23.4
hsa-miR-129-5p,RP11.173P15.3
hsa-miR-129-5p,RP11.175B9.2
hsa-miR-129-5p,RP11.184E9.1
hsa-miR-129-5p,RP11.190J1.3
hsa-miR-129-5p,RP11.214C8.5
hsa-miR-129-5p,RP11.216F19.2
hsa-miR-129-5p,RP1.121G13.3
hsa-miR-129-5p,RP11.227G15.3
hsa-miR-129-5p,RP11.22C8.1
hsa-miR-129-5p,RP11.253I19.3
hsa-miR-129-5p,RP11.275F13.3
hsa-miR-129-5p,RP11.316M1.12
hsa-miR-129-5p,RP11.318E3.4
hsa-miR-129-5p,RP11.319F12.2
hsa-miR-129-5p,RP11.345K20.2
hsa-miR-129-5p,RP11.347C12.10
hsa-miR-129-5p,RP11.347H15.2
hsa-miR-129-5p,RP11.363E7.4
hsa-miR-129-5p,RP11.381E24.1
hsa-miR-129-5p,RP11.383C5.4
hsa-miR-129-5p,RP11.383J24.6
hsa-miR-129-5p,RP11.388M20.6
hsa-miR-129-5p,RP11.388M20.7
hsa-miR-129-5p,RP11.390E23.6
hsa-miR-129-5p,RP11.395G23.3
hsa-miR-129-5p,RP11.39C10.1
hsa-miR-129-5p,RP11.402P6.9
hsa-miR-129-5p,RP11.408P14.1
hsa-miR-129-5p,RP11.421F16.3
hsa-miR-129-5p,RP11.422P24.10
hsa-miR-129-5p,RP11.430L17.1
hsa-miR-129-5p,RP11.432J22.2
hsa-miR-129-5p,RP11.43F13.1
hsa-miR-129-5p,RP11.443I9.1
hsa-miR-129-5p,RP11.466H18.1
hsa-miR-129-5p,RP11.46C20.1
hsa-miR-129-5p,RP11.474P12.5
hsa-miR-129-5p,RP11.48B3.4
hsa-miR-129-5p,RP11.498C9.16
hsa-miR-129-5p,RP11.507E23.1
hsa-miR-129-5p,RP11.513I15.6
hsa-miR-129-5p,RP11.539L10.2
hsa-miR-129-5p,RP11.545I5.3
hsa-miR-129-5p,RP11.548O1.3
hsa-miR-129-5p,RP11.552M11.4
hsa-miR-129-5p,RP11.553L6.5
hsa-miR-129-5p,RP11.554E23.4
hsa-miR-129-5p,RP11.575F12.2
hsa-miR-129-5p,RP11.587D21.1
hsa-miR-129-5p,RP11.592N21.1
hsa-miR-129-5p,RP11.598P20.3
hsa-miR-129-5p,RP11.611O2.3
hsa-miR-129-5p,RP11.627G23.1
hsa-miR-129-5p,RP11.63M22.2
hsa-miR-129-5p,RP11.669B18.1
hsa-miR-129-5p,RP11.677M14.7
hsa-miR-129-5p,RP11.679I18.4
hsa-miR-129-5p,RP11.690D19.3
hsa-miR-129-5p,RP11.693N9.2
hsa-miR-129-5p,RP11.6F2.5
hsa-miR-129-5p,RP11.715J22.4
hsa-miR-129-5p,RP11.750B16.1
hsa-miR-129-5p,RP11.770J1.5
hsa-miR-129-5p,RP11.78A19.3
hsa-miR-129-5p,RP11.791G16.4
hsa-miR-129-5p,RP11.810M2.2
hsa-miR-129-5p,RP11.844P9.2
hsa-miR-129-5p,RP11.876N24.4
hsa-miR-129-5p,RP11.890B15.2
hsa-miR-129-5p,RP1.193H18.2
hsa-miR-129-5p,RP11.94L15.2
hsa-miR-129-5p,RP11.973H7.2
hsa-miR-129-5p,RP11.982M15.2
hsa-miR-129-5p,RP11.983P16.4
hsa-miR-129-5p,RP11.98D18.15
hsa-miR-129-5p,RP1.215K18.4
hsa-miR-129-5p,RP1.228H13.1
hsa-miR-129-5p,RP1.251M9.2
hsa-miR-129-5p,RP13.39P12.3
hsa-miR-129-5p,RP1.89D4.1
hsa-miR-129-5p,RP1.90L6.2
hsa-miR-129-5p,RP3.525N10.2
hsa-miR-129-5p,RP4.604K5.1
hsa-miR-129-5p,RP4.612B15.2
hsa-miR-129-5p,RP4.733B9.1
hsa-miR-129-5p,RP4.785G19.2
hsa-miR-129-5p,RP4.794H19.1
hsa-miR-129-5p,RP4.800J21.3
hsa-miR-129-5p,RP5.1033H22.2
hsa-miR-129-5p,RP5.1180C10.2
hsa-miR-129-5p,RP5.1185I7.1
hsa-miR-129-5p,RP5.935K16.1
hsa-miR-129-5p,RP6.218J18.2
hsa-miR-129-5p,RP6.24A23.7
hsa-miR-129-5p,RPA3.AS1
hsa-miR-129-5p,RPI002_004205
hsa-miR-129-5p,RPL10P3
hsa-miR-129-5p,RPL14P1
hsa-miR-129-5p,RPL17
hsa-miR-129-5p,RPL17P22
hsa-miR-129-5p,RPL18
hsa-miR-129-5p,RPL23
hsa-miR-129-5p,RPL24P8
hsa-miR-129-5p,RPL26P30
hsa-miR-129-5p,RPL30
hsa-miR-129-5p,RPL31P11
hsa-miR-129-5p,RPL32
hsa-miR-129-5p,RPL32P29
hsa-miR-129-5p,RPL7P1
hsa-miR-129-5p,RPL7P16
hsa-miR-129-5p,RPL7P23
hsa-miR-129-5p,RPL7P60
hsa-miR-129-5p,RPL7P9
hsa-miR-129-5p,RPLP0P2
hsa-miR-129-5p,RPPH1
hsa-miR-129-5p,RPS15A
hsa-miR-129-5p,RPS16
hsa-miR-129-5p,RPS20
hsa-miR-129-5p,RPS23P8
hsa-miR-129-5p,RPS25
hsa-miR-129-5p,RPS27L
hsa-miR-129-5p,RPS3P7
hsa-miR-129-5p,RPS6KB2
hsa-miR-129-5p,RPS6P16
hsa-miR-129-5p,RRAGC
hsa-miR-129-5p,RTCB
hsa-miR-129-5p,RTFDC1
hsa-miR-129-5p,SAMD4B
hsa-miR-129-5p,SAMSN1
hsa-miR-129-5p,SAP30L.AS1
hsa-miR-129-5p,SCLT1
hsa-miR-129-5p,SCRIB
hsa-miR-129-5p,SDAD1
hsa-miR-129-5p,SDAD1P2
hsa-miR-129-5p,SEC13
hsa-miR-129-5p,SEC31A
hsa-miR-129-5p,SEC61G
hsa-miR-129-5p,SENP3
hsa-miR-129-5p,SERP1
hsa-miR-129-5p,SF3A3
hsa-miR-129-5p,SF3A3P2
hsa-miR-129-5p,SFI1
hsa-miR-129-5p,SFPQ
hsa-miR-129-5p,SH3GLB2
hsa-miR-129-5p,SIM2
hsa-miR-129-5p,SKP1P1
hsa-miR-129-5p,SLAMF7
hsa-miR-129-5p,SLC25A36
hsa-miR-129-5p,SLC25A5.AS1
hsa-miR-129-5p,SLC2A3P1
hsa-miR-129-5p,SLC37A4
hsa-miR-129-5p,SLC39A9
hsa-miR-129-5p,SLC46A3
hsa-miR-129-5p,SLMO2.ATP5E
hsa-miR-129-5p,SMARCC2
hsa-miR-129-5p,SMARCE1P5
hsa-miR-129-5p,SMCR5
hsa-miR-129-5p,SMG1P7
hsa-miR-129-5p,SNHG1
hsa-miR-129-5p,SNHG10
hsa-miR-129-5p,SNHG12
hsa-miR-129-5p,SNHG16
hsa-miR-129-5p,SNHG3
hsa-miR-129-5p,SNHG7
hsa-miR-129-5p,SNRNP70
hsa-miR-129-5p,SNRPA1
hsa-miR-129-5p,SNX24
hsa-miR-129-5p,SORBS2
