,1,2,4,5,6,7,8,9,10,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,77,78,79,117,118,119,120,121,122,123,126,127,128,130,131,132,133,134,135,138,140,141,142,144,145,146,147,149,153,155,156,159,162,163,164,165
AATBC,97.48559,65.88004,99.85514,91.54753,92.55755,115.03759,120.24749,60.09345,87.30378,89.77623,99.12604,76.31409,86.78553,87.73647,90.04493,165.95339,83.55266,95.61277,106.52134,72.94642,100.31498,93.91849,98.28513,98.33536,106.87479,142.90173,87.05036,99.09214,95.49299,97.15527,141.13362,103.10971,112.94172,75.53146,88.3478,75.65429,107.04037,102.86787,98.63276,82.65086,63.44724,79.2912,86.68809,99.58952,87.89779,84.46571,108.943,107.87541,137.55593,89.38025,88.54905,116.07964,111.49156,127.51222,82.97689,86.88913,90.32343,81.23197,77.15314,73.32881,100.71511,95.66445,92.37886,57.01438,66.53481,94.20374,61.51517,68.48195,67.27447,91.62067,125.55656,106.66551,69.29381,104.79623,130.84413,82.58419,87.0847,114.6744,148.49931,126.39814,133.37139,123.2715,91.31362,93.20207,100.99522,127.11305,84.87371,131.22745,79.02223,78.66753,120.97548,98.34181,37.37217,76.41083,67.09047,89.15475,151.06472,107.89123,106.30319,135.68155,113.80068,90.92275,89.79744,128.22376
ACOXL-AS1,46.20571,44.02144,57.40084,50.83021,45.59,39.62412,47.27184,47.85234,63.87914,55.47026,44.36415,46.27319,47.26434,43.17746,46.07839,52.56473,41.30083,40.82788,45.60189,57.12277,53.083,57.80073,44.79373,42.6562,38.08795,35.47806,49.0298,50.54099,45.70963,52.32336,53.75463,48.52048,49.56937,38.16398,47.19156,55.17811,44.09915,66.51565,52.77291,53.12887,44.13466,49.22784,44.81158,39.98825,73.01096,56.07803,60.62768,58.86566,53.47077,55.88922,41.03567,65.87783,115.06291,61.02015,43.12256,46.73302,43.44075,44.34991,51.89937,54.88858,40.91089,59.44614,135.68062,45.71919,45.79228,53.83561,24.06593,46.53299,52.96976,65.82972,48.10057,53.50377,97.18574,48.82038,40.97239,128.11841,41.4967,72.27677,58.67678,44.91299,48.55338,40.32633,58.04409,29.72416,35.68405,66.58234,51.81068,51.26928,70.78788,36.99504,38.14277,48.24186,70.71985,47.25056,30.48561,48.21162,48.99261,73.32821,52.40838,46.19,79.10032,52.67303,51.80954,62.34297
ACTA2-AS1,134.40457,105.57494,131.19585,128.74963,122.40901,85.45876,117.98264,75.49776,92.29481,86.66125,127.53297,114.90672,102.94525,163.33517,144.55649,88.8646,146.69048,117.24239,140.15355,108.98115,86.03639,124.36255,125.04052,129.11662,130.94976,121.73967,100.72767,130.78347,119.63803,104.05067,145.33532,170.40986,127.17331,110.09875,150.25575,114.42365,122.84312,107.63724,131.22759,132.96453,123.9289,141.40898,140.80642,124.93265,165.61071,129.03935,144.64799,113.25531,124.12893,120.48688,117.28769,141.73941,130.12469,120.06402,119.68187,95.04641,110.84045,148.52648,115.88406,154.73806,108.04737,93.03185,145.74471,92.33294,138.47738,144.4913,74.21641,152.5673,128.33794,109.87042,97.70742,100.32462,129.88164,133.15759,94.40913,116.30426,90.54571,108.74869,138.58737,118.91551,73.09972,119.44545,115.7633,138.17682,143.92643,113.81672,97.28446,86.6492,117.52602,111.8026,118.967,122.18692,84.66745,128.37332,115.76676,117.78911,87.71232,170.10984,137.37136,130.47728,121.67595,139.33876,107.10265,100.70226
ADAMTSL4-AS1,176.84012,98.21811,289.48591,169.19075,165.91846,151.23648,211.8904,122.1636,138.16594,308.96424,305.08549,172.38433,162.31696,208.16695,144.57457,218.33626,137.74304,187.29742,140.45957,91.4824,170.08021,154.37946,211.53931,189.25513,216.22873,187.477,204.20577,111.53328,236.50152,253.84176,311.83152,147.91474,203.34216,167.7997,301.32292,185.85996,243.50892,304.59625,212.82027,196.92029,168.96112,134.3352,286.63076,217.22606,208.39185,140.47631,172.56919,174.19395,246.06081,159.11647,199.44119,219.43441,164.63092,321.95546,177.97431,381.7695,219.73142,85.22652,111.90196,164.54486,221.46468,214.90307,204.64811,130.62398,157.54392,259.6977,115.60926,163.96888,107.84528,146.153,237.05222,153.14686,178.89444,117.96589,268.72564,200.91686,221.95652,145.72733,212.10639,198.25046,149.66194,204.89298,132.96007,163.39724,205.85019,181.35318,206.10336,101.20649,159.24373,282.7969,215.79635,128.21764,111.01253,178.64915,124.54044,237.4345,229.65001,164.72888,181.03221,287.25642,191.1891,219.68303,198.86104,228.27671
ADORA2A-AS1,82.48241,119.16763,172.82832,142.09291,110.08634,105.8758,118.1593,119.68061,174.51706,162.3022,94.06839,106.27683,121.1838,98.0123,87.88319,99.78467,106.55614,105.68131,95.59171,188.32002,123.88909,122.993,97.9685,110.16833,83.87066,86.68172,139.97506,85.931,94.82359,113.55341,133.67214,90.45762,128.80981,88.24571,113.13383,112.06845,89.03194,143.32124,123.60799,111.73198,169.29503,84.91647,89.76598,88.06107,164.93184,130.78532,122.88524,158.7845,104.25968,111.77561,110.16701,130.70106,290.20868,115.43555,92.07249,119.24892,96.68127,87.19902,129.37584,133.58713,90.81906,169.02275,417.48643,148.55246,108.77702,126.42188,73.38776,110.55261,104.15796,129.02369,105.72313,93.28642,230.66607,153.70252,109.03449,400.18626,165.12636,217.3685,191.95783,150.61113,169.48163,126.9118,120.20337,128.63695,125.24879,210.35547,156.30253,137.51706,123.47149,102.03816,71.22569,162.17054,179.06641,108.34001,100.51201,141.74854,158.01097,212.90317,203.77077,140.3068,227.37338,155.84082,130.85587,166.41554
AFAP1-AS1,32.69164,36.87333,63.52571,56.82534,57.62494,65.52691,56.99288,46.31443,54.33115,57.66945,42.37321,74.38075,53.68101,62.05125,53.37313,49.15077,51.1102,55.62953,57.72058,76.895,63.10404,63.81525,54.86856,47.9484,42.79625,54.00356,53.05888,50.3494,45.36454,61.11577,59.7989,39.17103,50.19344,43.57386,42.83247,70.20267,62.27714,68.35656,63.5627,57.24913,82.21078,43.25319,40.76526,68.89399,67.45509,67.0846,69.54291,44.63493,56.96006,46.04908,47.93626,55.63853,65.99929,53.11224,56.97607,52.5316,42.08964,49.96348,43.58452,50.51586,53.35124,70.56329,93.42376,42.53624,40.71432,59.10193,46.49478,54.4377,52.4019,41.6559,57.79667,49.37213,58.60998,48.06841,36.82975,84.36208,50.10321,69.94719,71.65798,54.94141,54.44346,36.03358,36.91943,26.65688,40.70909,52.58458,56.57254,50.8567,64.48198,45.05569,46.9627,37.66312,71.88879,56.97244,40.82912,58.73315,63.67323,54.95895,51.73769,52.95437,60.6774,49.39271,39.27916,58.99492
AFDN-DT,227.55327,249.34714,315.12977,263.87881,249.70849,251.07303,220.85671,244.85811,278.87806,279.59841,203.38561,275.18884,210.44245,220.09129,228.95911,255.81256,233.2061,220.03107,206.33674,345.34305,285.95033,289.44667,218.12521,266.5527,208.98554,213.96578,286.55363,243.53421,213.85087,228.74137,240.07183,193.94767,256.08887,200.36011,207.03179,310.08671,170.79407,288.32167,242.42251,213.20152,346.93527,176.87783,217.17965,238.77096,324.29331,279.45255,277.45917,235.87642,259.33663,316.28728,190.82732,246.52913,409.09855,244.84234,303.23359,235.88995,242.51173,200.94499,268.19181,227.61086,173.02205,325.23524,485.48722,308.77462,206.10584,243.70937,208.35808,233.13766,165.0209,295.10462,228.87185,195.89945,323.16938,219.07396,289.3704,575.98536,261.45118,323.18089,269.75084,204.64811,310.20906,269.60554,309.26034,240.74046,221.92013,213.4227,377.46675,344.43237,288.99796,167.74936,139.03461,205.25842,467.01694,197.48704,217.26051,215.86335,294.03955,366.86961,343.22933,224.70807,269.45959,184.70476,275.03824,344.96706
AGPAT4-IT1,92.48725,126.15947,117.38431,97.19033,104.00618,69.84612,121.88817,68.0151,76.89902,73.5976,81.62774,108.19071,84.83098,87.41242,85.52613,84.3134,109.63566,103.66195,86.74552,97.6551,72.67888,82.31629,89.60862,102.65278,90.01831,82.93589,76.60246,74.50373,88.70784,106.62266,126.39719,93.7709,72.7276,74.24675,99.53226,92.63867,93.44602,79.3343,92.27175,94.97095,133.18066,98.15957,95.25247,136.27007,115.89862,99.93156,93.7279,92.31041,103.5513,85.50442,97.576,92.48828,90.82601,109.47227,85.97161,83.80827,99.6869,73.69413,77.91471,80.49604,104.10598,100.0585,129.53232,73.66516,86.53239,103.86163,62.78925,82.44747,88.26551,77.04008,99.23393,86.13017,122.49412,95.11979,79.8369,133.23756,145.87537,118.76992,121.23953,98.5621,73.38943,107.45653,95.24731,109.7947,108.13824,106.16956,87.20268,84.4271,96.72303,81.90412,72.21815,108.92849,62.82655,97.12748,107.47896,110.37832,85.38104,111.74936,119.87166,112.5634,108.31233,93.17368,85.73045,83.60278
ANP32A-IT1,330.19161,198.95976,362.91661,259.70537,298.48128,192.82674,320.96379,147.24202,234.72014,288.14488,419.51261,275.02362,249.62418,349.88315,343.91688,306.04541,306.51845,328.10544,340.02856,241.38006,233.26815,269.80671,380.63197,335.59453,394.76027,288.42892,303.9461,317.5745,301.41035,367.39264,413.72404,275.57143,312.68122,245.71151,368.11399,249.77437,310.17785,334.14867,358.36959,324.95952,326.99145,284.24153,341.02872,261.50501,369.55655,288.35924,314.79537,228.31388,374.41058,283.3792,379.61321,356.84936,262.69248,372.57063,244.48439,371.41216,328.25777,204.3535,271.58461,246.63094,309.93795,375.93744,221.89532,274.21813,263.07279,318.68989,178.3601,251.77495,213.45573,244.50289,276.22093,304.17005,205.41258,302.63059,394.68693,222.61737,284.43934,174.83203,313.16401,374.59681,247.71821,323.46253,236.46764,289.22907,376.71527,324.05674,304.60851,223.42491,336.79633,330.1808,357.08435,282.64581,158.89967,306.48131,202.27154,422.17691,308.30804,336.01563,379.04074,269.6364,367.21637,280.47219,286.50668,274.6187
