"","3","11","17","18","52","60","75","76","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","124","125","129","136","137","139","143","148","150","151","152","154","157","158","160","161","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186"
"AATBC",77.07423,90.85908,70.93153,94.94494,93.54693,107.04571,83.40973,86.72473,81.97672,84.92902,82.94222,66.53088,87.06227,76.28571,96.78762,109.54336,72.28296,91.83115,77.9349,76.95582,67.36035,101.01545,92.7789,77.78491,77.07237,70.78487,95.2682,82.74972,74.60553,81.2485,109.34293,73.26708,82.38436,101.67115,75.28581,103.55245,116.14527,72.46348,94.02781,86.7918,99.30456,92.97376,69.9084,80.72067,93.12732,88.31949,74.82664,111.66468,108.45832,106.1505,121.32166,119.72319,129.67087,128.50189,109.93761,105.27125,120.92872,84.90859,110.15407,97.4565,66.34269,80.35497,98.70417,90.98615,96.50434,104.73379,66.9828,109.17834,88.86306,75.03095,98.7757,102.63602,138.78265,158.65756,124.61895,150.04615,137.35563,109.82456,122.58804,122.33813,160.08682,86.95604
"ACOXL-AS1",76.85949,53.66716,59.97338,59.31412,75.52255,63.98873,40.00903,49.48507,49.68162,39.21471,40.67022,47.54536,49.52459,51.24601,54.09986,50.27736,60.32103,56.81095,50.87939,54.48211,53.47224,56.97183,44.35279,48.28231,41.53074,15.58407,42.55623,48.78517,60.45322,86.43708,35.51469,50.86744,60.94505,53.05067,109.07113,51.54163,88.48879,46.74322,52.82804,60.80378,50.841,48.99191,51.07596,177.18959,44.16213,49.3755,126.76224,54.56429,54.78485,46.88985,77.66066,32.97745,84.86618,38.2108,45.57986,76.40337,90.69611,80.06597,40.70903,52.35362,65.92185,34.81757,36.85821,49.4756,77.68836,44.95852,45.78686,53.01394,70.38349,46.55587,78.54904,77.18968,62.14744,33.1601,51.7361,70.61285,48.36247,80.87873,71.21266,57.6986,48.12285,50.64348
"ACTA2-AS1",128.98779,109.3975,124.28691,81.16132,122.49516,110.48304,112.17015,83.02923,166.06987,101.55273,140.05241,134.531,148.5528,141.49361,135.01581,108.69987,124.4153,110.91348,119.37093,99.46248,130.21757,112.36461,98.0733,111.40374,91.9995,95.04375,139.11262,94.17932,117.15677,112.26141,100.90457,189.1812,144.52266,161.84243,145.3934,139.88302,135.57415,142.86038,127.18205,125.11978,106.19692,132.10607,117.96224,133.67299,104.25789,115.1071,124.86075,132.24177,97.08394,143.1907,158.34481,149.52848,123.45292,138.85983,129.03004,115.55458,127.30206,131.57192,113.52319,141.83279,123.39591,115.80105,149.82806,166.91758,124.71885,132.55748,155.29839,115.93947,110.20559,140.09243,118.41809,126.74777,116.30947,98.37037,108.43202,111.15868,104.71044,116.54805,113.07061,106.47284,112.28475,119.1002
"ADAMTSL4-AS1",221.67548,167.09807,148.43953,158.45782,178.38426,124.66664,127.95701,123.78309,379.58177,107.67621,222.15561,158.29203,147.44432,165.59064,139.95005,177.46232,203.01399,149.82003,205.02144,151.67718,165.69201,223.74734,140.41318,241.33696,184.08599,83.16432,146.37144,175.35828,278.18619,245.08142,103.61754,222.67675,141.20041,155.90018,169.93506,171.81628,240.95565,250.88942,160.21024,153.63129,150.63673,183.17825,216.7241,215.04687,262.69626,112.13788,105.78104,198.13669,106.93615,166.13431,162.02622,184.66814,191.06615,192.24717,186.03157,154.68771,205.40268,118.72002,172.81611,273.99042,162.27083,216.71102,173.0681,174.24072,101.35777,171.24508,189.87456,89.98915,224.35674,249.40548,187.01892,337.70222,324.13164,208.93346,176.25914,187.6831,232.72103,220.71544,222.88699,197.6077,226.4919,196.23098
"ADORA2A-AS1",242.17295,145.109,154.20867,156.22887,147.73882,159.43517,96.1081,84.03361,121.65856,89.19667,127.82884,103.28906,133.41482,133.98111,115.4787,88.54142,141.10647,98.0569,97.25205,117.11878,142.68011,116.71023,166.44477,109.72145,112.50828,97.26935,100.81956,106.96945,116.00807,200.99458,99.34936,97.49512,161.9081,200.48865,296.39177,120.6919,195.52948,132.26593,101.78442,144.04976,141.67174,108.33223,80.22135,386.19503,105.71258,184.18199,355.74709,126.45306,189.80503,103.29716,245.55774,89.93027,200.01913,108.43355,116.1984,117.96962,273.4216,276.94231,91.96202,147.95093,161.21334,146.5025,110.47442,160.42094,266.98099,101.03089,131.9345,154.2803,247.74999,147.39762,211.14057,220.19312,191.18079,133.20116,172.47336,181.59302,137.03468,193.3453,200.52092,181.75146,132.99123,136.04634
"AFAP1-AS1",68.29017,71.58353,51.93408,55.11216,57.66287,51.07412,58.23764,50.9343,65.52514,55.5893,64.57251,52.54908,58.93439,48.72495,53.47185,58.79288,57.16183,44.59856,50.05966,53.97919,53.50856,75.45371,75.61875,58.77252,52.51399,56.34871,42.48527,73.01007,59.85055,58.47002,58.58575,57.3502,59.75138,66.00272,72.48911,65.82326,64.49187,59.33006,60.76073,72.77804,46.78757,61.65395,43.74886,92.34588,60.14988,62.77974,80.04394,51.61331,55.58548,34.21825,61.86798,29.26166,72.27356,55.49888,52.50579,44.37148,62.76,74.90601,42.98951,52.95022,69.84589,59.5415,29.1608,64.0175,66.253,35.23542,67.7446,41.57198,91.48012,73.0274,56.68954,50.5429,48.14776,38.56418,49.01805,52.4737,46.06063,49.24278,57.54544,58.01057,38.2854,39.5404
"AFDN-DT",354.66796,290.93815,302.07857,250.03436,336.16962,266.76779,213.9565,226.29941,361.21874,223.83327,216.46298,221.25505,265.97934,226.80451,241.26891,242.68717,224.07211,255.20157,202.36353,260.28724,335.00588,209.69281,366.25751,286.99586,274.6252,174.67383,196.49637,275.87462,290.22552,296.06048,219.73835,229.21034,285.93742,284.37196,328.89327,245.2298,350.8013,269.40114,213.75617,341.48109,292.28867,207.29405,187.3958,537.99338,221.99146,342.96237,448.51917,320.81143,288.77795,192.82414,355.27782,185.19401,395.04165,212.22827,219.29103,214.44747,289.36188,380.11888,216.57372,271.18471,322.02395,325.96731,197.9673,283.91249,398.82074,214.75678,222.67012,351.89228,378.68166,287.59478,283.24281,237.1284,256.02029,201.3259,231.37796,264.11729,213.52276,266.46474,290.70108,256.568,218.63024,202.33795
"AGPAT4-IT1",109.31572,83.76964,88.24663,91.87684,84.79263,92.477,73.44953,77.26633,104.20835,73.41631,100.48891,91.69077,112.44449,84.42655,88.75771,86.83201,68.6413,104.6747,105.89804,74.47566,75.3205,86.83249,59.54382,98.56649,74.09868,66.82149,106.13,71.2732,96.64126,97.56668,87.24454,119.63188,91.09856,90.59323,118.02148,103.30141,101.82875,94.66894,98.90008,108.44227,68.08662,107.63296,105.01122,139.18313,106.67073,77.24493,136.22211,113.81371,79.41849,78.1426,122.93378,116.70844,108.74488,98.68795,98.58615,111.95715,86.02399,92.05249,92.48544,77.18082,101.07969,82.44497,86.01125,100.07009,129.44373,84.02819,74.89559,104.8459,105.53298,150.11759,126.41497,123.60057,129.06235,117.28082,121.87065,128.93955,115.04438,135.48919,123.39919,126.71163,133.39795,118.52939
"ANP32A-IT1",322.6606,326.63417,217.04606,267.63572,276.05046,289.13823,240.05665,254.32806,396.8483,215.33805,289.42458,213.28363,273.14194,291.5754,250.20427,338.30145,255.74249,237.58478,325.27936,214.72155,244.07517,327.98422,156.72793,260.69072,290.78558,165.06276,323.49883,266.98819,359.5428,233.82636,202.37505,289.65043,183.54486,338.80294,273.87411,301.19677,314.63722,309.1938,294.87318,342.41699,225.95031,298.37465,301.63202,174.45831,348.24237,262.15651,244.57655,294.46491,241.44993,316.37798,404.64964,330.13554,313.03929,319.4749,272.43136,288.21526,359.99715,250.42574,226.72395,269.33466,283.98931,286.02251,281.99779,293.95901,269.31423,285.05292,302.84868,309.48403,299.56576,432.71206,255.21805,337.31643,306.5838,269.28678,273.15305,364.61689,315.54163,276.38816,295.95552,327.11039,342.64888,296.40441
"AQP4-AS1",70.5141,84.37277,79.09059,71.58222,68.87331,77.65451,51.23751,59.52988,68.98377,52.50791,40.41539,57.43926,74.73382,52.6088,60.54046,40.77983,56.93762,36.27124,61.55433,65.63444,80.36413,45.64508,92.99834,44.41305,52.88669,56.86509,48.28361,63.6603,56.91823,94.71788,56.45769,52.54756,52.72716,52.68576,62.01075,55.85165,68.99823,55.52425,58.59071,90.83686,51.90148,50.54219,52.72686,74.49126,54.85965,59.27069,98.51703,43.81441,27.45352,65.40192,66.22226,29.06135,68.66965,104.79211,71.78487,46.57985,39.63833,89.21536,39.23708,59.29035,63.12213,93.94577,51.15673,77.83516,72.00595,46.27656,38.01398,77.8887,87.15188,54.70672,55.29089,74.89048,48.85909,42.95832,41.58622,53.27727,41.34797,90.71639,59.69062,60.10703,56.64579,40.56921
"ARHGAP19-SLIT1",42.55433,28.068,16.635,26.16866,28.26081,33.05484,18.96817,13.74429,24.12301,22.29496,23.02247,22.49976,24.69299,29.91722,23.83947,29.25728,21.03078,14.59069,30.6584,16.27009,24.91413,31.6127,14.4107,29.60624,18.41939,25.02708,19.49568,20.33779,25.0301,40.61853,19.64824,28.82468,29.70325,33.02756,47.46452,33.90938,31.99771,24.62877,18.55821,32.36425,21.13086,28.54552,23.78032,65.98216,18.17307,21.86359,25.04447,18.01265,30.96434,17.80631,27.30042,26.54473,27.49468,28.69805,22.85428,28.16038,47.36511,36.33684,11.64622,25.61036,29.34857,18.75613,22.47339,19.49726,28.64064,26.69371,29.10578,14.24612,24.08229,24.70391,29.05053,38.47695,26.59509,24.05694,21.81423,26.02482,21.55118,30.72179,27.18805,27.94757,26.19626,32.58874
