hsa-miR-101-1,hsa-miR-103a-1,hsa-miR-103a-2,hsa-miR-122,hsa-miR-124-2,hsa-miR-124-3,hsa-miR-125a-5p,hsa-miR-126-3p,hsa-miR-127-3p,hsa-miR-128-1,hsa-miR-128-2,hsa-miR-129-1,hsa-miR-130a-3p,hsa-miR-133b,hsa-miR-134-5p,hsa-miR-135a-2,hsa-miR-138-1,hsa-miR-138-2,hsa-miR-139-5p,hsa-miR-144-3p,hsa-miR-147a,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-152-3p,hsa-miR-153-1,hsa-miR-154-5p,hsa-miR-15a-5p,hsa-miR-16-1,hsa-miR-16-2,hsa-miR-181c-5p,hsa-miR-183-5p,hsa-miR-185-5p,hsa-miR-187-3p,hsa-miR-190a,hsa-miR-192-5p,hsa-miR-194-2,hsa-miR-195-5p,hsa-miR-196a-1,hsa-miR-197-3p,hsa-miR-199a-1,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-203a,hsa-miR-204-5p,hsa-miR-210-3p,hsa-miR-211-5p,hsa-miR-212-3p,hsa-miR-216a,hsa-miR-217-5p,hsa-miR-218-1,hsa-miR-218-2,hsa-miR-219a-1,hsa-miR-219a-2,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-23a-3p,hsa-miR-24-2,hsa-miR-25-3p,hsa-miR-26a-1,hsa-miR-26a-2,hsa-miR-26b-5p,hsa-miR-299,hsa-miR-29b-1,hsa-miR-30a,hsa-miR-30b-5p,hsa-miR-30c-1,hsa-miR-30c-2,hsa-miR-30d-5p,hsa-miR-31-5p,hsa-miR-32-5p,hsa-miR-326,hsa-miR-330-3p,hsa-miR-34b-5p,hsa-miR-375-3p,hsa-miR-377-3p,hsa-miR-382-5p,hsa-miR-429,hsa-miR-455-5p,hsa-miR-485,hsa-miR-495-3p,hsa-miR-503-5p,hsa-miR-504-5p,hsa-miR-516b-1,hsa-miR-622,hsa-miR-7-2,hsa-miR-9-1,hsa-miR-93-5p,hsa-miR-98-5p,hsa-miR-99a-5p,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7c,hsa-let-7d-5p,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g
82.66875,30.96354,100.96651,10.89202,38.42205,16.85627,131.98976,8.70418,75.86535,60.28155,42.79401,125.52281,33.98013,49.70572,45.81268,3.38241,183.59314,33.215,214.95362,56.98593,93.358,5.1018,109.6231,155.3318,97.75382,49.12337,19.98369,19.97638,511.42071,77.34757,29.72234,77.50063,23.34118,155.19158,116.6234,1.09573,45.82,134.26895,83.1169,93.1423,194.87422,0.52499,18.94313,70.31236,65.1405,335.40346,73.86548,379.04388,138.13049,148.27281,14.7846,4.71878,11.75904,65.34966,624.41001,60.78039,47.88259,18.91278,1196.42627,225.06342,54.32752,107.93474,42.31193,50.53158,102.05562,17.35507,28.26134,19.74322,28.61018,109.69491,30.44558,39.38452,39.30202,67.3851,559.28896,52.58542,26.09369,187.24549,9.05394,33.60562,81.23724,51.53514,42.9121,5.88078,32.35613,83.33141,9.93755,398.24962,67.90505,28.78464,55.91161,37.4393,61.41157,76.17539,52.50027,14.01526,86.38014,126.54263,53.60711,138.2125
60.75052,46.39817,66.52566,12.54129,34.44276,27.45618,194.57704,17.55345,129.50993,102.20119,103.66241,192.70403,38.79482,70.9348,53.52888,0.90303,264.33255,40.24643,266.59878,36.16448,91.04283,5.41797,91.81231,199.7608,104.08898,66.728,14.583,18.7084,444.73133,51.85073,19.72706,89.93875,25.15615,189.29447,141.1197,5.43175,70.49931,161.97264,96.6658,126.84655,187.11206,2.24134,21.97189,87.5975,81.8171,362.43708,110.85274,637.67894,180.80283,224.18577,22.95423,8.31465,10.5237,81.83968,864.32324,76.67855,54.37407,19.99007,631.13997,258.64555,46.19068,153.27282,47.89751,38.90215,91.57251,26.24524,18.51613,20.14496,26.99917,140.77256,37.9572,34.73468,36.72811,59.01778,784.38017,65.99918,22.04184,357.14709,17.96768,46.34022,60.61249,68.37779,52.23812,0.04347,49.02488,118.0018,7.95335,300.83023,64.07027,50.56019,77.48881,48.8318,59.02171,77.16576,35.71712,11.38006,97.32891,109.74805,54.4305,128.8603
66.0138,31.33276,81.53996,15.92048,39.50843,16.83278,156.15777,18.29518,115.02449,76.10456,55.68807,157.46942,35.36716,53.43642,75.21565,3.69619,232.56758,49.28707,241.00639,68.89534,100.70226,8.39652,101.51285,200.97514,104.79811,58.69871,22.11443,18.35431,790.4934,64.48054,30.21579,91.03353,17.26355,199.247,128.05795,7.85163,74.53887,145.92913,87.06649,90.31247,158.33368,11.3745,31.01431,73.3843,69.96138,332.07678,90.99103,494.98952,179.77689,203.3702,29.91657,11.48072,13.43538,59.60327,571.62455,62.03741,60.92556,26.93672,953.92286,242.80874,54.63631,135.20075,50.84176,43.98025,106.569,20.31595,13.05859,14.44602,20.38686,122.1732,32.92688,43.283,49.2579,50.01322,660.00753,60.19498,31.97131,266.80431,21.96767,29.11949,96.80215,73.3861,51.75147,6.79775,30.61988,103.21951,15.19615,346.7012,68.60351,46.949,70.77839,39.27951,52.94149,88.34421,38.81263,12.84267,121.59129,160.1955,45.18657,138.20628
65.35264,38.48108,99.46423,14.06363,46.83178,12.25772,144.14479,11.15993,93.34343,73.75261,74.41402,165.98785,31.17401,49.54286,42.46348,3.86679,218.32582,37.71232,236.85415,44.74433,88.98367,6.88271,131.62659,204.22773,82.92135,67.63057,22.44566,19.84485,494.01857,83.29109,19.39635,68.32198,34.06398,152.60054,103.20586,3.46761,48.99235,108.13539,73.07688,88.90814,172.59233,6.29572,16.77832,83.17381,66.58228,336.72252,113.28472,428.32503,134.36433,170.22352,16.39886,6.76953,11.59563,53.31102,732.22017,83.73581,50.89214,14.54703,825.42351,236.47905,66.51862,120.04155,47.59804,41.29029,90.5157,13.08271,19.88056,16.83238,26.98155,104.69725,37.69861,38.58505,36.69012,74.4863,588.07468,43.26573,10.86252,175.29637,5.28518,39.09671,85.64234,68.5469,50.23803,5.27873,34.76504,96.74383,4.54725,374.6256,54.91179,36.29672,50.80626,42.75182,65.668,73.79132,37.50194,11.7637,99.51879,145.13357,41.64847,144.86977
84.05833,46.65984,134.12485,12.99904,30.14236,22.53534,122.24762,9.57231,65.19922,70.77608,43.75524,143.99757,24.3327,60.32752,51.36888,2.55465,165.65635,22.98456,167.18817,44.26145,74.34002,9.48552,126.50871,121.19278,83.08401,47.20025,21.2312,16.09574,648.34102,82.13001,23.2927,81.04298,14.96603,173.60295,98.97183,4.2478,58.21543,105.44312,61.21303,71.09335,174.21505,6.82085,24.246,80.02358,60.2416,246.42085,63.8989,369.18588,118.65378,158.87918,16.3129,16.1089,4.04529,38.95331,510.20469,73.953,38.21199,18.0823,647.78671,187.64181,51.76994,113.51446,44.32065,39.65399,84.18566,16.4786,19.45681,8.05592,18.16962,98.77357,36.97369,55.9133,44.15151,73.2884,566.43103,45.06118,24.17502,195.46976,8.25135,32.8422,78.02655,63.56141,36.43149,6.26613,37.4634,86.1712,8.23711,463.1224,43.33793,26.0834,68.12437,52.30517,49.68577,91.02631,44.5564,10.92056,104.07075,181.33999,57.75974,181.64974
59.61502,47.49999,110.08083,15.49138,37.70956,15.35855,163.35252,9.78242,86.79054,58.29879,63.93341,184.28384,34.57339,64.73234,57.91441,4.33019,198.59838,38.06086,228.67362,37.73669,98.08183,13.20852,81.34017,201.12557,86.17044,52.1584,24.08405,16.32181,446.58564,76.15609,18.25737,76.03353,22.74354,180.4878,111.98319,2.40093,54.75757,133.1227,73.41338,107.26847,162.32263,6.86264,25.24442,90.9683,65.71323,335.68177,78.83194,428.53932,152.83523,202.47106,17.69672,3.50894,18.37862,74.92329,749.69055,74.234,44.98268,12.90056,809.83004,234.02657,39.16284,133.69679,47.58801,27.19411,84.10045,24.29688,11.73086,14.79134,27.75138,114.48764,39.02494,39.62813,44.40621,54.50778,694.73255,54.57317,23.22941,160.0998,12.42892,38.34932,66.95064,70.66081,52.25745,2.23232,41.48758,108.51686,14.95675,366.98088,82.20714,34.04852,69.32065,36.18978,53.85166,66.44072,45.18657,11.73004,90.01597,111.45415,43.95596,129.20556
57.39839,46.10895,97.50257,18.51783,42.61606,13.3816,146.63257,14.99542,96.55543,99.59117,55.99847,186.13914,32.76244,46.65557,60.19415,4.38628,216.41653,41.04502,235.80934,40.06071,96.32785,5.33319,144.4263,153.5408,104.2684,59.68313,23.93453,20.39325,701.20888,81.41598,24.69223,91.30823,34.69336,165.09444,111.38662,6.6403,49.45862,151.78695,83.84675,108.71813,172.4089,7.61672,19.34231,67.06526,87.73019,272.14717,85.96109,383.27341,172.67877,191.3655,20.22826,7.76094,14.75683,56.16251,767.19611,92.57166,56.54107,26.67777,578.28948,214.30537,46.80854,134.96929,52.77573,38.1638,97.61241,17.88339,23.22809,16.82869,30.33786,122.70055,51.67881,35.56726,54.83834,106.80624,581.4026,65.95103,38.88396,247.05473,10.70251,33.30667,89.0505,73.17939,47.74328,4.40872,47.3319,115.10556,7.73359,473.98484,62.99349,41.96808,76.96623,41.21032,59.36677,79.78761,32.93274,7.88946,130.19476,162.81106,44.1688,183.84875
88.20612,44.95092,124.25845,14.11797,37.90562,19.08222,153.95654,18.86856,100.10704,75.08636,66.96275,162.34548,44.49242,55.75381,53.94946,4.46335,218.67385,50.4771,256.65902,23.93708,112.89113,7.92572,124.09949,193.23783,98.45187,61.89215,15.60316,12.27211,530.34993,80.68877,25.00572,89.92238,25.84391,193.10346,113.12031,6.53844,61.30636,128.80751,83.51663,111.28126,193.04711,8.64849,25.13168,89.45558,75.6684,314.53872,67.73807,429.99462,149.61648,213.87151,13.90292,12.16325,13.49844,62.16611,757.22441,75.51933,65.10044,23.16251,635.55043,281.56699,71.38653,140.21837,45.89971,44.02666,104.96921,18.25942,37.36742,13.56582,29.81038,120.24703,40.91162,47.07242,36.32558,70.92771,687.79617,51.0096,26.53529,257.04922,10.78815,39.22533,89.47577,60.36625,49.69284,2.27637,37.16664,125.24405,9.71716,391.20476,63.76766,39.30736,71.90216,36.54521,49.44875,93.65784,40.87883,13.491,109.96571,148.47957,51.59152,161.0867
91.28485,48.78279,114.57998,16.02273,44.45217,15.46108,141.30266,10.02671,87.05319,74.84965,54.92057,131.22324,19.09794,55.26115,59.95969,6.74912,183.1871,28.88899,221.38011,28.5857,88.02428,7.95069,135.81832,132.82515,92.4408,49.03253,20.21081,17.51299,772.26529,79.23054,17.90508,84.98541,27.69252,171.48094,97.75846,3.64134,61.67234,140.11203,76.94339,97.88516,196.55973,0.1526,27.1559,73.69682,72.01862,262.53149,73.40397,335.37503,151.61822,179.27112,17.19714,11.49397,17.71865,57.99025,590.90779,67.10984,46.41402,18.63424,803.81702,244.84233,47.26621,109.11479,50.13344,27.81246,99.77847,19.61426,37.28518,19.45229,27.72194,119.08943,48.60646,42.47661,46.80831,73.44537,566.61765,58.11394,22.7565,158.15889,16.78074,33.61662,68.01777,61.17265,52.07801,1.76132,40.60343,105.07224,13.12231,436.36224,72.3226,30.93598,63.30962,40.84115,51.29982,98.13738,36.36867,9.68225,106.6344,188.81462,38.66806,158.42647
49.43192,67.27919,65.3354,25.28142,56.05631,18.76224,276.78598,10.69476,152.99633,130.55561,154.74777,250.13875,42.21698,62.07954,90.17501,6.67473,402.99175,40.72916,362.16625,45.75008,125.49701,4.45822,86.33985,201.28564,209.7587,88.99264,29.64108,32.25192,376.95814,58.60097,26.29797,172.39905,46.50121,264.76177,170.78484,9.74261,75.19937,275.50878,116.80412,175.94566,297.63925,3.57235,16.47991,141.96117,166.52081,306.62522,116.30782,479.70428,258.72545,322.7726,20.42483,9.00285,18.98258,88.23324,2234.27888,107.34932,83.80524,41.21724,220.70273,382.36709,62.55288,175.68169,90.17654,45.66201,176.31055,23.7768,22.80729,19.24017,68.88694,205.90878,72.30447,27.37478,50.50531,59.86876,1222.1061,114.53199,50.93616,251.50005,25.10808,70.88514,67.2032,71.52066,86.46654,6.49391,99.33702,195.83644,21.54398,344.94897,121.25081,122.97404,84.82965,54.35556,72.23242,105.62054,33.31405,2.42062,108.32528,89.51162,17.22091,94.62625
